acf,param,n_rep,seed,iter,best_y,y_min_est,true_regret,runtime
anpei,0.2,3,1,1,3.1171012791243897,3.154231847362496,2.551961475348384,16.26118302345276
anpei,0.2,3,1,2,3.1171012791243897,3.154231847362496,2.551961475348384,16.26118302345276
anpei,0.2,3,1,3,3.1171012791243897,1.1456587033352221,5.927431287100573,16.26118302345276
anpei,0.2,3,1,4,3.1171012791243897,1.1456587033352221,5.927431287100573,16.26118302345276
anpei,0.2,3,1,5,3.1171012791243897,1.1456587033352221,5.927431287100573,16.26118302345276
anpei,0.2,3,1,6,3.1171012791243897,1.1456587033352221,5.927431287100573,16.26118302345276
anpei,0.2,3,1,7,3.1171012791243897,1.1456587033352221,5.927431287100573,16.26118302345276
anpei,0.2,3,1,8,3.1171012791243897,1.1456587033352221,5.927431287100573,16.26118302345276
anpei,0.2,3,1,9,3.1171012791243897,3.3363466323466824,2.585615863625226,16.26118302345276
anpei,0.2,3,1,10,3.1171012791243897,3.3363466323466824,2.585615863625226,16.26118302345276
anpei,0.2,3,1,11,3.1171012791243897,3.3363466323466824,2.585615863625226,16.26118302345276
anpei,0.2,3,1,12,3.1171012791243897,3.3363466323466824,2.585615863625226,16.26118302345276
anpei,0.2,3,1,13,3.1171012791243897,3.3363466323466824,2.585615863625226,16.26118302345276
anpei,0.2,3,1,14,3.1171012791243897,3.3363466323466824,2.585615863625226,16.26118302345276
anpei,0.2,3,1,15,3.1171012791243897,3.3363466323466824,2.585615863625226,16.26118302345276
anpei,0.2,3,1,16,3.1171012791243897,3.3363466323466824,2.585615863625226,16.26118302345276
anpei,0.2,3,1,17,3.1171012791243897,3.3363466323466824,2.585615863625226,16.26118302345276
anpei,0.2,3,1,18,3.1171012791243897,3.3363466323466824,2.585615863625226,16.26118302345276
anpei,0.2,3,1,19,3.1171012791243897,3.3363466323466824,2.585615863625226,16.26118302345276
anpei,0.2,3,1,20,3.1171012791243897,3.3363466323466824,2.585615863625226,16.26118302345276
anpei,0.2,3,1,21,3.1171012791243897,3.3363466323466824,2.585615863625226,16.26118302345276
anpei,0.2,3,1,22,3.1171012791243897,3.3363466323466824,2.585615863625226,16.26118302345276
anpei,0.2,3,1,23,3.1171012791243897,3.3363466323466824,2.585615863625226,16.26118302345276
anpei,0.2,3,1,24,3.1171012791243897,3.3363466323466824,2.585615863625226,16.26118302345276
anpei,0.2,3,1,25,3.1171012791243897,3.3363466323466824,2.585615863625226,16.26118302345276
anpei,0.2,3,1,26,3.1171012791243897,3.3363466323466824,2.585615863625226,16.26118302345276
anpei,0.2,3,1,27,3.1171012791243897,3.3363466323466824,2.585615863625226,16.26118302345276
anpei,0.2,3,1,28,3.1171012791243897,3.3363466323466824,2.585615863625226,16.26118302345276
anpei,0.2,3,1,29,3.1171012791243897,3.3363466323466824,2.585615863625226,16.26118302345276
anpei,0.2,3,1,30,3.1171012791243897,3.3363466323466824,2.585615863625226,16.26118302345276
anpei,0.2,3,2,1,3.6762179239130788,3.70401710219285,2.627602892234556,15.767460584640503
anpei,0.2,3,2,2,3.6762179239130788,3.70401710219285,2.627602892234556,15.767460584640503
anpei,0.2,3,2,3,3.6762179239130788,1.895908623723436,5.7392061512939385,15.767460584640503
