acf,param,n_rep,seed,iter,best_y,y_min_est,true_regret,runtime
anpei,0.5,3,1,1,3.1171012791243897,3.1712107561879535,2.552052237222803,34.41838836669922
anpei,0.5,3,1,2,3.1171012791243897,-1.9949849117885918,12.509484642148317,34.41838836669922
anpei,0.5,3,1,3,3.1171012791243897,2.7580587070682085,3.7939218093949743,34.41838836669922
anpei,0.5,3,1,4,3.1171012791243897,1.403278360417488,9.514177487584766,34.41838836669922
anpei,0.5,3,1,5,3.1171012791243897,2.738306238432095,3.66506292984171,34.41838836669922
anpei,0.5,3,1,6,3.1171012791243897,2.7361217238446898,3.701073093874042,34.41838836669922
anpei,0.5,3,1,7,3.1171012791243897,2.7417030453753313,3.7267109904355404,34.41838836669922
anpei,0.5,3,1,8,3.1171012791243897,2.7496181767050416,3.7414022305201025,34.41838836669922
anpei,0.5,3,1,9,3.1171012791243897,2.645860540247888,2.326094841928806,34.41838836669922
anpei,0.5,3,1,10,3.1171012791243897,2.9174467452206443,2.3509863434184695,34.41838836669922
anpei,0.5,3,1,11,-2.7713119520412683,2.8539201505678946,2.3405352436686586,34.41838836669922
anpei,0.5,3,1,12,-2.7713119520412683,-2.1125128927784047,1.6225247083447902,34.41838836669922
anpei,0.5,3,1,13,-2.7713119520412683,-1.9277546439976163,1.3025203625388517,34.41838836669922
anpei,0.5,3,1,14,-2.7713119520412683,-1.6016734673674051,1.3501950985785989,34.41838836669922
anpei,0.5,3,1,15,-2.7713119520412683,-2.790454977043872,2.4839558348834796,34.41838836669922
anpei,0.5,3,1,16,-2.7713119520412683,-3.269468729184709,5.864127016086908,34.41838836669922
anpei,0.5,3,1,17,-2.7713119520412683,-0.5128011927062559,1.3332406952319484,34.41838836669922
anpei,0.5,3,1,18,-2.7713119520412683,-0.41158684964388925,1.2591812377536549,34.41838836669922
anpei,0.5,3,1,19,-2.7713119520412683,-0.3726028290256238,1.2314397834374589,34.41838836669922
anpei,0.5,3,1,20,-2.7713119520412683,-0.3768532490561256,1.234484424532246,34.41838836669922
anpei,0.5,3,1,21,-2.7713119520412683,-1.0811456184368637,1.6315407464361096,34.41838836669922
anpei,0.5,3,1,22,-2.7713119520412683,-0.9898253761907938,1.5753668368131626,34.41838836669922
anpei,0.5,3,1,23,-2.7713119520412683,-0.9918483127342768,1.5764469058670914,34.41838836669922
anpei,0.5,3,1,24,-2.7713119520412683,-0.9908631576289935,1.5759164028228234,34.41838836669922
anpei,0.5,3,1,25,-2.7713119520412683,-1.8702419861429433,1.1593492673554309,34.41838836669922
anpei,0.5,3,1,26,-2.7713119520412683,-1.8354227873736875,1.1503406021625633,34.41838836669922
anpei,0.5,3,1,27,-2.7713119520412683,-1.838881552379874,1.1528176899450795,34.41838836669922
anpei,0.5,3,1,28,-2.7713119520412683,-1.8272859190852557,1.1436924509277944,34.41838836669922
anpei,0.5,3,1,29,-2.7713119520412683,-1.8263744383487222,1.1433628438785952,34.41838836669922
anpei,0.5,3,1,30,-2.7713119520412683,-1.8321915475608819,1.1470645808087756,34.41838836669922
anpei,0.5,3,2,1,3.6762179239130788,3.7160355138640426,2.627701967395984,39.28206276893616
anpei,0.5,3,2,2,3.6762179239130788,-1.5966745574872832,13.02044212781694,39.28206276893616
anpei,0.5,3,2,3,3.6762179239130788,3.3133909114242,3.8835179337680943,39.28206276893616
anpei,0.5,3,2,4,3.6762179239130788,1.8559729755349395,9.656575311801372,39.28206276893616
anpei,0.5,3,2,5,3.6762179239130788,3.3118909141690978,3.7607567532149595,39.28206276893616
anpei,0.5,3,2,6,3.6762179239130788,3.3081555576713626,3.79756566921081,39.28206276893616
anpei,0.5,3,2,7,3.6762179239130788,3.6037835180933158,2.421003285892894,39.28206276893616
anpei,0.5,3,2,8,3.6762179239130788,3.2842358142546644,2.33319083319138,39.28206276893616
anpei,0.5,3,2,9,3.6762179239130788,3.5370391522066527,2.393051165663419,39.28206276893616
anpei,0.5,3,2,10,3.6762179239130788,3.487133354770158,2.374416351409277,39.28206276893616
anpei,0.5,3,2,11,3.6762179239130788,3.4797270045965973,2.3754815959528424,39.28206276893616
anpei,0.5,3,2,12,3.0560317291905386,3.394521001214862,2.3554176810844316,39.28206276893616
anpei,0.5,3,2,13,3.0560317291905386,3.093729748659065,2.326553863135384,39.28206276893616
anpei,0.5,3,2,14,3.0560317291905386,-13.804394104417383,5.7115965756043,39.28206276893616
anpei,0.5,3,2,15,3.0560317291905386,3.428020741776713,2.5870873555788494,39.28206276893616
