acf,param,n_rep,seed,iter,best_y,runtime
ei,,3,1,1,3.3763245520000087,280.419382
ei,,3,1,2,3.3763245520000087,280.419382
ei,,3,1,3,3.3763245520000087,280.419382
ei,,3,1,4,3.3763245520000087,280.419382
ei,,3,1,5,3.3763245520000087,280.419382
ei,,3,1,6,3.3763245520000087,280.419382
ei,,3,1,7,3.3763245520000087,280.419382
ei,,3,1,8,3.282427893879101,280.419382
ei,,3,1,9,1.7959991313110557,280.419382
ei,,3,1,10,-0.7329106208526374,280.419382
ei,,3,1,11,-0.7329106208526374,280.419382
ei,,3,1,12,-0.7329106208526374,280.419382
ei,,3,1,13,-0.7615592653881071,280.419382
ei,,3,1,14,-0.7720156517385587,280.419382
ei,,3,1,15,-0.7720156517385587,280.419382
ei,,3,1,16,-0.7730019389104154,280.419382
ei,,3,1,17,-0.7730019389104154,280.419382
ei,,3,1,18,-0.7730383041580938,280.419382
ei,,3,1,19,-0.7730559694999353,280.419382
ei,,3,1,20,-0.7730598532004631,280.419382
ei,,3,1,21,-0.773066131853524,280.419382
ei,,3,1,22,-0.773073814975776,280.419382
ei,,3,1,23,-0.773073814975776,280.419382
ei,,3,1,24,-0.773073814975776,280.419382
ei,,3,1,25,-0.773073814975776,280.419382
ei,,3,1,26,-0.7730753833130549,280.419382
ei,,3,1,27,-0.7730767110268703,280.419382
ei,,3,1,28,-0.7730767110268703,280.419382
ei,,3,1,29,-0.7730767110268703,280.419382
ei,,3,1,30,-0.7730767110268703,280.419382
ei,,5,1,1,3.3283039385211097,218.139523
ei,,5,1,2,3.3283039385211097,218.139523
ei,,5,1,3,3.3283039385211097,218.139523
ei,,5,1,4,3.3283039385211097,218.139523
ei,,5,1,5,3.3283039385211097,218.139523
ei,,5,1,6,3.3283039385211097,218.139523
ei,,5,1,7,3.3283039385211097,218.139523
ei,,5,1,8,2.142784186397612,218.139523
ei,,5,1,9,2.142784186397612,218.139523
ei,,5,1,10,2.142784186397612,218.139523
ei,,5,1,11,0.7281739698410039,218.139523
ei,,5,1,12,0.7281739698410039,218.139523
ei,,5,1,13,0.7281739698410039,218.139523
ei,,5,1,14,0.7158744470365471,218.139523
ei,,5,1,15,0.7158744470365471,218.139523
ei,,5,1,16,0.7127242347903218,218.139523
ei,,5,1,17,0.7127242347903218,218.139523
ei,,5,1,18,0.7127242347903218,218.139523
ei,,5,1,19,0.7127242347903218,218.139523
ei,,5,1,20,0.7127242347903218,218.139523
ei,,5,1,21,0.7127242347903218,218.139523
ei,,5,1,22,0.7127242347903218,218.139523
ei,,5,1,23,0.7127242347903218,218.139523
ei,,5,1,24,0.7127242347903218,218.139523
ei,,5,1,25,0.7127242347903218,218.139523
ei,,5,1,26,0.7127242347903218,218.139523
ei,,5,1,27,0.7127242347903218,218.139523
ei,,5,1,28,0.7126952105107195,218.139523
ei,,5,1,29,0.7126836818619081,218.139523
ei,,5,1,30,0.7126836818619081,218.139523
ei,,10,1,1,3.9692444454541302,228.514121
ei,,10,1,2,3.9692444454541302,228.514121
ei,,10,1,3,3.9692444454541302,228.514121
ei,,10,1,4,3.9692444454541302,228.514121
ei,,10,1,5,3.9692444454541302,228.514121
ei,,10,1,6,3.9692444454541302,228.514121
ei,,10,1,7,3.9692444454541302,228.514121
ei,,10,1,8,3.6655030263680652,228.514121
ei,,10,1,9,3.0925997975741346,228.514121
ei,,10,1,10,0.7261289118903544,228.514121
ei,,10,1,11,0.7261289118903544,228.514121
ei,,10,1,12,0.7261289118903544,228.514121
ei,,10,1,13,0.4848696463004266,228.514121
ei,,10,1,14,0.4848696463004266,228.514121
ei,,10,1,15,0.4842630120662658,228.514121
ei,,10,1,16,0.4842630120662658,228.514121
ei,,10,1,17,0.4842630120662658,228.514121
ei,,10,1,18,0.4842630120662658,228.514121
ei,,10,1,19,0.4842630120662658,228.514121
ei,,10,1,20,0.4842630120662658,228.514121
ei,,10,1,21,0.4842630120662658,228.514121
ei,,10,1,22,0.4842630120662658,228.514121
ei,,10,1,23,0.4842630120662658,228.514121
ei,,10,1,24,0.4842630120662658,228.514121
ei,,10,1,25,0.4842630120662658,228.514121
ei,,10,1,26,0.4842630120662658,228.514121
ei,,10,1,27,0.4842630120662658,228.514121
ei,,10,1,28,0.4842630120662658,228.514121
ei,,10,1,29,0.4842630120662658,228.514121
ei,,10,1,30,0.4842630120662658,228.514121
lcb,,3,1,1,3.3763245520000087,243.634477
lcb,,3,1,2,3.3763245520000087,243.634477
lcb,,3,1,3,3.3763245520000087,243.634477
lcb,,3,1,4,3.3763245520000087,243.634477
