2026-06-15 14:56:46.939690: I tensorflow/core/util/port.cc:153] oneDNN custom operations are on. You may see slightly different numerical results due to floating-point round-off errors from different computation orders. To turn them off, set the environment variable `TF_ENABLE_ONEDNN_OPTS=0`.
2026-06-15 14:56:47.033053: I tensorflow/core/platform/cpu_feature_guard.cc:210] This TensorFlow binary is optimized to use available CPU instructions in performance-critical operations.
To enable the following instructions: AVX2 AVX512F AVX512_VNNI FMA, in other operations, rebuild TensorFlow with the appropriate compiler flags.
tb_monitor -> tb/sweep | total=1080 | every 30s
[  31.8 min]  173/1080 (16.0%)  rate= 4.4/min  eta=206.1 min  workers=30
[  32.3 min]  174/1080 (16.1%)  rate= 4.2/min  eta=216.7 min  workers=30
[  32.8 min]  176/1080 (16.3%)  rate= 4.2/min  eta=216.2 min  workers=30
[  33.3 min]  177/1080 (16.4%)  rate= 4.0/min  eta=227.9 min  workers=30
[  33.8 min]  179/1080 (16.6%)  rate= 3.7/min  eta=240.8 min  workers=30
[  34.3 min]  180/1080 (16.7%)  rate= 3.1/min  eta=292.1 min  workers=30
[  34.8 min]  183/1080 (16.9%)  rate= 3.1/min  eta=291.1 min  workers=30
[  35.3 min]  183/1080 (16.9%)  rate= 2.6/min  eta=339.6 min  workers=30
[  35.8 min]  186/1080 (17.2%)  rate= 2.9/min  eta=312.4 min  workers=30
[  36.3 min]  187/1080 (17.3%)  rate= 3.1/min  eta=289.8 min  workers=30
[  36.8 min]  189/1080 (17.5%)  rate= 3.3/min  eta=269.9 min  workers=30
[  37.4 min]  194/1080 (18.0%)  rate= 4.0/min  eta=223.6 min  workers=30
[  37.9 min]  198/1080 (18.3%)  rate= 4.6/min  eta=190.8 min  workers=30
[  38.4 min]  198/1080 (18.3%)  rate= 4.2/min  eta=210.9 min  workers=30
[  38.9 min]  202/1080 (18.7%)  rate= 4.8/min  eta=181.3 min  workers=30
[  39.4 min]  204/1080 (18.9%)  rate= 4.6/min  eta=189.5 min  workers=30
[  39.9 min]  205/1080 (19.0%)  rate= 4.8/min  eta=180.7 min  workers=30
[  40.4 min]  206/1080 (19.1%)  rate= 4.4/min  eta=198.9 min  workers=30
[  40.9 min]  207/1080 (19.2%)  rate= 4.4/min  eta=198.7 min  workers=30
[  41.4 min]  208/1080 (19.3%)  rate= 4.2/min  eta=208.9 min  workers=30
[  41.9 min]  211/1080 (19.5%)  rate= 3.7/min  eta=232.7 min  workers=30
[  42.4 min]  211/1080 (19.5%)  rate= 2.9/min  eta=304.3 min  workers=30
[  42.9 min]  213/1080 (19.7%)  rate= 3.3/min  eta=263.1 min  workers=30
[  43.4 min]  214/1080 (19.8%)  rate= 2.6/min  eta=328.4 min  workers=30
[  43.9 min]  217/1080 (20.1%)  rate= 2.9/min  eta=302.1 min  workers=30
[  44.4 min]  219/1080 (20.3%)  rate= 3.1/min  eta=279.9 min  workers=30
[  44.9 min]  221/1080 (20.5%)  rate= 3.3/min  eta=260.1 min  workers=30
[  45.4 min]  226/1080 (20.9%)  rate= 4.2/min  eta=204.1 min  workers=30
[  45.9 min]  229/1080 (21.2%)  rate= 4.6/min  eta=184.1 min  workers=30
[  46.4 min]  232/1080 (21.5%)  rate= 4.6/min  eta=183.4 min  workers=30
[  47.0 min]  234/1080 (21.7%)  rate= 5.1/min  eta=167.1 min  workers=30
[  47.5 min]  235/1080 (21.8%)  rate= 4.8/min  eta=174.5 min  workers=30
[  48.0 min]  236/1080 (21.9%)  rate= 4.8/min  eta=174.3 min  workers=30
[  48.5 min]  236/1080 (21.9%)  rate= 4.2/min  eta=201.8 min  workers=30
[  49.0 min]  239/1080 (22.1%)  rate= 4.4/min  eta=191.0 min  workers=30
[  49.5 min]  239/1080 (22.1%)  rate= 4.0/min  eta=212.2 min  workers=30
[  50.0 min]  242/1080 (22.4%)  rate= 3.5/min  eta=237.9 min  workers=30
[  50.5 min]  243/1080 (22.5%)  rate= 3.1/min  eta=271.6 min  workers=30
[  51.0 min]  243/1080 (22.5%)  rate= 2.4/min  eta=345.6 min  workers=30
[  51.5 min]  246/1080 (22.8%)  rate= 2.6/min  eta=315.7 min  workers=30
[  52.0 min]  249/1080 (23.1%)  rate= 3.1/min  eta=269.6 min  workers=30
[  52.5 min]  252/1080 (23.3%)  rate= 3.5/min  eta=235.1 min  workers=30
[  53.0 min]  255/1080 (23.6%)  rate= 4.2/min  eta=197.3 min  workers=30
[  53.5 min]  261/1080 (24.2%)  rate= 4.8/min  eta=169.1 min  workers=30
[  54.0 min]  262/1080 (24.3%)  rate= 5.1/min  eta=161.6 min  workers=30
[  54.5 min]  263/1080 (24.4%)  rate= 4.6/min  eta=176.7 min  workers=30
[  55.0 min]  264/1080 (24.4%)  rate= 4.6/min  eta=176.5 min  workers=30
[  55.5 min]  266/1080 (24.6%)  rate= 5.1/min  eta=160.8 min  workers=30
[  56.0 min]  266/1080 (24.6%)  rate= 4.4/min  eta=184.9 min  workers=30
[  56.5 min]  266/1080 (24.6%)  rate= 3.7/min  eta=217.5 min  workers=30
[  57.0 min]  267/1080 (24.7%)  rate= 3.3/min  eta=246.2 min  workers=30
[  57.6 min]  270/1080 (25.0%)  rate= 3.3/min  eta=245.3 min  workers=30
[  58.1 min]  273/1080 (25.3%)  rate= 2.6/min  eta=305.5 min  workers=30
[  58.6 min]  274/1080 (25.4%)  rate= 2.6/min  eta=305.2 min  workers=30
[  59.1 min]  278/1080 (25.7%)  rate= 3.3/min  eta=242.9 min  workers=30
[  59.6 min]  278/1080 (25.7%)  rate= 3.1/min  eta=260.2 min  workers=30
