acf,param,n_rep,seed,iter,best_y,y_min_est,true_regret,runtime
anpei,0.2,3,1,1,3.1171012791243897,3.1712107561879535,2.5520520416042105,41.743265867233276
anpei,0.2,3,1,2,3.1171012791243897,3.0954725969703105,2.339686229504065,41.743265867233276
anpei,0.2,3,1,3,3.1171012791243897,-5.313220402447229,14.27588727144792,41.743265867233276
anpei,0.2,3,1,4,3.1171012791243897,2.882588911828833,3.3859898741619503,41.743265867233276
anpei,0.2,3,1,5,3.1171012791243897,3.098098590956063,3.1294675970238828,41.743265867233276
anpei,0.2,3,1,6,3.1171012791243897,3.172072834852038,3.077651669490823,41.743265867233276
anpei,0.2,3,1,7,3.1171012791243897,3.1991314992097912,3.0549922887681413,41.743265867233276
anpei,0.2,3,1,8,3.1171012791243897,3.285234893627184,3.027344209533883,41.743265867233276
anpei,0.2,3,1,9,3.1171012791243897,1.505673033322502,7.494779072316734,41.743265867233276
anpei,0.2,3,1,10,3.1171012791243897,3.2705681009130387,3.0278849571134367,41.743265867233276
anpei,0.2,3,1,11,3.1171012791243897,-31.93784316446611,7.417975251084311,41.743265867233276
anpei,0.2,3,1,12,3.1171012791243897,2.7231990543461677,3.5396782267554263,41.743265867233276
anpei,0.2,3,1,13,0.16847863816316036,2.3911099346479716,0.041028056566297266,41.743265867233276
anpei,0.2,3,1,14,0.16847863816316036,-2.076382432502051,7.454807042031011,41.743265867233276
anpei,0.2,3,1,15,0.16847863816316036,0.2254590698632768,1.1669180839390947e-05,41.743265867233276
anpei,0.2,3,1,16,0.16847863816316036,0.3015358446926939,0.0028606135679538625,41.743265867233276
anpei,0.2,3,1,17,0.16847863816316036,0.38133093924241024,0.0016031668408533761,41.743265867233276
anpei,0.2,3,1,18,0.16847863816316036,0.4042457859941919,0.0016006102756946916,41.743265867233276
anpei,0.2,3,1,19,0.16847863816316036,0.4027717078050159,0.0015397130465153452,41.743265867233276
anpei,0.2,3,1,20,0.16847863816316036,0.381386185056968,0.001245927148053383,41.743265867233276
anpei,0.2,3,1,21,0.16847863816316036,0.3804772317458287,0.001223573402041822,41.743265867233276
anpei,0.2,3,1,22,0.16847863816316036,0.380323671680145,0.0012421850565953463,41.743265867233276
anpei,0.2,3,1,23,0.16847863816316036,0.39368410687899313,0.0012818061991399787,41.743265867233276
anpei,0.2,3,1,24,0.16847863816316036,0.3958876196241192,0.001287327876955402,41.743265867233276
anpei,0.2,3,1,25,0.16847863816316036,0.4565915630139159,0.0013751756881958954,41.743265867233276
anpei,0.2,3,1,26,0.16847863816316036,0.45720311052414786,0.0013884318359327352,41.743265867233276
anpei,0.2,3,1,27,0.16847863816316036,0.46222604991477567,0.0014402968158222507,41.743265867233276
anpei,0.2,3,1,28,0.16847863816316036,0.4548932094055118,0.0012685424475726848,41.743265867233276
anpei,0.2,3,1,29,0.16847863816316036,0.45499285661780675,0.001264443868942422,41.743265867233276
anpei,0.2,3,1,30,0.16847863816316036,0.45946524463654725,0.0013835459454103471,41.743265867233276
anpei,0.2,3,2,1,3.6762179239130788,3.7160355138640426,2.6277019766208296,35.99359631538391
anpei,0.2,3,2,2,3.6762179239130788,3.7205106837019883,2.627818772323552,35.99359631538391
anpei,0.2,3,2,3,3.6762179239130788,3.722970517605688,2.627561146727065,35.99359631538391
anpei,0.2,3,2,4,3.6762179239130788,3.724476642808469,2.6276352676902324,35.99359631538391
anpei,0.2,3,2,5,3.6762179239130788,2.8665346459497414,4.7167648344228645,35.99359631538391
anpei,0.2,3,2,6,3.6762179239130788,3.4751965855715454,2.3736750390232837,35.99359631538391
anpei,0.2,3,2,7,3.6762179239130788,3.6066333780848012,2.4732933175090714,35.99359631538391
anpei,0.2,3,2,8,3.6762179239130788,3.5774650480532415,2.4690458037753293,35.99359631538391
anpei,0.2,3,2,9,3.6762179239130788,3.626202475445922,2.4701132084284136,35.99359631538391
anpei,0.2,3,2,10,3.6762179239130788,3.5976054668003314,2.4628642551033373,35.99359631538391
anpei,0.2,3,2,11,3.6762179239130788,3.5488228091963308,3.418863858932979,35.99359631538391
anpei,0.2,3,2,12,3.6762179239130788,3.563909055834074,3.4422553954275728,35.99359631538391
anpei,0.2,3,2,13,3.6762179239130788,3.7775075987820017,2.4561472996660054,35.99359631538391
anpei,0.2,3,2,14,3.6762179239130788,2.3429086756544137,2.4839558348834796,35.99359631538391
anpei,0.2,3,2,15,3.6762179239130788,3.4362207484718184,3.1342316507899275,35.99359631538391
anpei,0.2,3,2,16,3.6762179239130788,3.424970723449995,3.0666546443552782,35.99359631538391
anpei,0.2,3,2,17,3.6762179239130788,3.421500740999541,3.086356581882237,35.99359631538391
anpei,0.2,3,2,18,3.6762179239130788,3.3412367173725244,2.817263191396968,35.99359631538391
anpei,0.2,3,2,19,3.6762179239130788,3.314719774163173,2.7280146991180487,35.99359631538391
anpei,0.2,3,2,20,3.6762179239130788,3.3280672131143874,2.738794840049157,35.99359631538391
anpei,0.2,3,2,21,3.6762179239130788,3.3517651755015834,2.7614180815568865,35.99359631538391
anpei,0.2,3,2,22,3.6762179239130788,3.2099621619404672,2.6466566273693903,35.99359631538391
anpei,0.2,3,2,23,3.6762179239130788,3.197948476580244,2.627348871642229,35.99359631538391
anpei,0.2,3,2,24,3.6762179239130788,3.1789019885733367,2.6053172923999,35.99359631538391
anpei,0.2,3,2,25,3.6762179239130788,3.186448607861749,2.6193179615313893,35.99359631538391
anpei,0.2,3,2,26,3.6762179239130788,3.1793836443435666,2.608786589577095,35.99359631538391
anpei,0.2,3,2,27,3.6762179239130788,3.1798278895818086,2.609650022575778,35.99359631538391
anpei,0.2,3,2,28,3.6762179239130788,3.1791534404420503,2.6088356105827506,35.99359631538391
anpei,0.2,3,2,29,3.6762179239130788,3.2078594660332556,2.6321186873835156,35.99359631538391
anpei,0.2,3,2,30,3.6762179239130788,3.2074072147215347,2.631568591923042,35.99359631538391
anpei,0.2,3,3,1,3.150121454957335,3.1971819145380422,2.5152202392506764,65.92792677879333
anpei,0.2,3,3,2,3.150121454957335,3.202514093964801,2.5153204998994836,65.92792677879333
anpei,0.2,3,3,3,3.150121454957335,3.2052594368168528,2.5150529873290397,65.92792677879333
anpei,0.2,3,3,4,3.150121454957335,2.022526034715831,4.854089619325938,65.92792677879333
anpei,0.2,3,3,5,3.150121454957335,1.4542725134575463,5.869853941026497,65.92792677879333
anpei,0.2,3,3,6,3.150121454957335,0.9554419482849639,6.778642148465202,65.92792677879333
anpei,0.2,3,3,7,3.150121454957335,2.7300314887712887,3.5785978270380454,65.92792677879333
anpei,0.2,3,3,8,3.150121454957335,2.5670529483989313,3.8797306945212657,65.92792677879333
anpei,0.2,3,3,9,2.0040788841801627,3.1699020779231617,2.474589573731442,65.92792677879333
anpei,0.2,3,3,10,2.0040788841801627,1.4319661538911674,0.22963960023469987,65.92792677879333
anpei,0.2,3,3,11,0.23017888362627506,0.8661912529419382,0.047967123677025825,65.92792677879333
anpei,0.2,3,3,12,0.23017888362627506,0.21566986156944523,0.00014611266597874817,65.92792677879333
anpei,0.2,3,3,13,0.23017888362627506,0.3407660087465061,0.0011256724842816368,65.92792677879333
anpei,0.2,3,3,14,0.23017888362627506,0.2797496370677379,0.0037017354524984114,65.92792677879333
anpei,0.2,3,3,15,0.23017888362627506,0.4054014575879492,0.00042197925706588535,65.92792677879333
anpei,0.2,3,3,16,0.23017888362627506,0.4225665940601999,0.00037133849816939346,65.92792677879333
anpei,0.2,3,3,17,0.23017888362627506,0.1482878217199044,0.0058682510472340965,65.92792677879333
anpei,0.2,3,3,18,0.23017888362627506,0.7354568510769255,0.060307501353642934,65.92792677879333
anpei,0.2,3,3,19,0.23017888362627506,0.7224161994961165,0.052306437680977425,65.92792677879333
anpei,0.2,3,3,20,0.23017888362627506,0.7039938891544892,0.06180290947731848,65.92792677879333
anpei,0.2,3,3,21,0.23017888362627506,0.7057918126765088,0.06034507043231052,65.92792677879333
anpei,0.2,3,3,22,0.23017888362627506,0.7031727242943617,0.054579280741736014,65.92792677879333
