1080 runs | 20 workers | num_iter=30
[84/1080] lcb/nrep10/seed17: ok(final_y=-3.137, 53.7s)
[85/1080] lcb/nrep10/seed18: ok(final_y=-1.227, 53.1s)
[86/1080] lcb/nrep10/seed26: ok(final_y=-1.432, 36.7s)
[87/1080] pi/nrep03/seed01: ok(final_y=-3.115, 32.5s)
[88/1080] lcb/nrep10/seed29: ok(final_y=-2.102, 37.8s)
[89/1080] lcb/nrep10/seed30: ok(final_y=-2.49, 38.5s)
[90/1080] lcb/nrep10/seed27: ok(final_y=-2.034, 48.3s)
[91/1080] pi/nrep03/seed03: ok(final_y=-5.7, 32.1s)
[92/1080] pi/nrep03/seed02: ok(final_y=-2.491, 41.6s)
[93/1080] pi/nrep03/seed04: ok(final_y=-3.898, 34.2s)
[94/1080] pi/nrep03/seed06: ok(final_y=-2.663, 40.4s)
[95/1080] lcb/nrep10/seed28: ok(final_y=-2.271, 60.4s)
[96/1080] pi/nrep03/seed13: ok(final_y=-6.741, 29.4s)
[97/1080] pi/nrep03/seed09: ok(final_y=-5.043, 33.2s)
[98/1080] pi/nrep03/seed08: ok(final_y=-9.678, 33.6s)
[99/1080] pi/nrep03/seed12: ok(final_y=-6.049, 33.5s)
[100/1080] pi/nrep03/seed05: ok(final_y=-17.71, 47.1s)
[101/1080] pi/nrep03/seed11: ok(final_y=-0.2507, 35.3s)
[102/1080] pi/nrep03/seed07: ok(final_y=-3.907, 41.0s)
[103/1080] pi/nrep03/seed16: ok(final_y=-3.48, 33.2s)
[104/1080] pi/nrep03/seed14: ok(final_y=-1.584, 35.5s)
[105/1080] pi/nrep03/seed10: ok(final_y=-3.142, 41.3s)
[106/1080] pi/nrep03/seed17: ok(final_y=-1.177, 33.1s)
[107/1080] pi/nrep03/seed15: ok(final_y=-5.517, 41.2s)
[108/1080] pi/nrep03/seed18: ok(final_y=-4.054, 34.2s)
[109/1080] pi/nrep03/seed20: ok(final_y=-3.106, 34.8s)
[110/1080] pi/nrep03/seed19: ok(final_y=-1.842, 37.9s)
[111/1080] pi/nrep03/seed21: ok(final_y=-3.392, 32.7s)
[112/1080] pi/nrep03/seed23: ok(final_y=-6.499, 34.8s)
[113/1080] pi/nrep03/seed27: ok(final_y=-2.424, 32.1s)
[114/1080] pi/nrep03/seed28: ok(final_y=-2.352, 33.5s)
[115/1080] pi/nrep03/seed26: ok(final_y=-7.787, 34.2s)
[116/1080] pi/nrep03/seed22: ok(final_y=-4.377, 46.1s)
[117/1080] pi/nrep05/seed01: ok(final_y=-0.8815, 32.2s)
[118/1080] pi/nrep03/seed29: ok(final_y=-3.304, 35.8s)
[119/1080] pi/nrep05/seed03: ok(final_y=-4.456, 34.5s)
[120/1080] pi/nrep05/seed04: ok(final_y=-2.175, 34.0s)
[121/1080] pi/nrep05/seed05: ok(final_y=-7.657, 33.4s)
[122/1080] pi/nrep05/seed02: ok(final_y=-4.931, 38.2s)
[123/1080] pi/nrep05/seed06: ok(final_y=-3.254, 33.3s)
[124/1080] pi/nrep05/seed07: ok(final_y=-2.225, 34.9s)
[125/1080] pi/nrep03/seed24: ok(final_y=-3.651, 51.3s)
[126/1080] pi/nrep03/seed30: ok(final_y=-2.622, 45.5s)
[127/1080] pi/nrep05/seed08: ok(final_y=-3.656, 34.8s)
[128/1080] pi/nrep03/seed25: ok(final_y=-3.049, 53.9s)
[129/1080] pi/nrep05/seed09: ok(final_y=-1.635, 34.9s)
[130/1080] pi/nrep05/seed11: ok(final_y=-3.361, 34.0s)
[131/1080] pi/nrep05/seed12: ok(final_y=-3.979, 34.7s)
[132/1080] pi/nrep05/seed10: ok(final_y=-4.204, 42.9s)
[133/1080] pi/nrep05/seed13: ok(final_y=-3.971, 33.3s)
[134/1080] pi/nrep05/seed15: ok(final_y=-4.908, 33.0s)
[135/1080] pi/nrep05/seed14: ok(final_y=-7.902, 35.1s)
[136/1080] pi/nrep05/seed18: ok(final_y=-4.32, 32.8s)
[137/1080] pi/nrep05/seed20: ok(final_y=-8.925, 31.9s)
[138/1080] pi/nrep05/seed21: ok(final_y=-2.659, 32.1s)
[139/1080] pi/nrep05/seed19: ok(final_y=-2.584, 37.3s)
[140/1080] pi/nrep05/seed22: ok(final_y=-4.513, 34.7s)
[141/1080] pi/nrep05/seed24: ok(final_y=-2.106, 30.9s)
[142/1080] pi/nrep05/seed26: ok(final_y=-3.443, 34.3s)
[143/1080] pi/nrep05/seed27: ok(final_y=-1.59, 32.6s)
[144/1080] pi/nrep05/seed16: ok(final_y=-4.511, 50.1s)
[145/1080] pi/nrep05/seed17: ok(final_y=-2.956, 49.6s)
[146/1080] pi/nrep05/seed29: ok(final_y=-2.093, 33.5s)
[147/1080] pi/nrep05/seed30: ok(final_y=-1.631, 33.6s)
[148/1080] pi/nrep05/seed23: ok(final_y=-2.136, 43.4s)
[149/1080] pi/nrep10/seed01: ok(final_y=-3.731, 32.0s)
[150/1080] pi/nrep10/seed03: ok(final_y=-2.699, 31.4s)
[151/1080] pi/nrep10/seed02: ok(final_y=-1.573, 32.5s)
[152/1080] pi/nrep10/seed04: ok(final_y=-4.083, 33.6s)
[153/1080] pi/nrep10/seed05: ok(final_y=-4.308, 32.1s)
[154/1080] pi/nrep05/seed25: ok(final_y=-3.227, 54.1s)
[155/1080] pi/nrep10/seed07: ok(final_y=-4.697, 29.8s)
[156/1080] pi/nrep10/seed08: ok(final_y=-2.249, 31.5s)
[157/1080] pi/nrep05/seed28: ok(final_y=-2.293, 52.9s)
[158/1080] pi/nrep10/seed06: ok(final_y=-1.368, 36.3s)
[159/1080] pi/nrep10/seed11: ok(final_y=-1.989, 29.5s)
[160/1080] pi/nrep10/seed09: ok(final_y=-0.9612, 33.3s)
[161/1080] pi/nrep10/seed10: ok(final_y=-2.996, 33.7s)
[162/1080] pi/nrep10/seed12: ok(final_y=-2.139, 30.5s)
[163/1080] pi/nrep10/seed13: ok(final_y=-1.055, 34.0s)
[164/1080] pi/nrep10/seed16: ok(final_y=-1.624, 31.3s)
[165/1080] pi/nrep10/seed19: ok(final_y=-2.668, 30.2s)
[166/1080] pi/nrep10/seed17: ok(final_y=-4.776, 33.7s)
[167/1080] pi/nrep10/seed21: ok(final_y=-2.761, 30.0s)
[168/1080] pi/nrep10/seed18: ok(final_y=-1.422, 39.8s)
[169/1080] pi/nrep10/seed22: ok(final_y=-0.596, 32.0s)
[170/1080] pi/nrep10/seed20: ok(final_y=-2.467, 36.6s)
[171/1080] pi/nrep10/seed15: ok(final_y=-1.6, 46.6s)
[172/1080] pi/nrep10/seed23: ok(final_y=-2.46, 33.5s)
[173/1080] pi/nrep10/seed25: ok(final_y=-2.169, 33.2s)
[174/1080] pi/nrep10/seed14: ok(final_y=-2.515, 51.9s)
[175/1080] pi/nrep10/seed26: ok(final_y=-1.369, 34.0s)
[176/1080] pi/nrep10/seed28: ok(final_y=-2.499, 34.8s)
[177/1080] pi/nrep10/seed30: ok(final_y=-1.998, 33.1s)
[178/1080] pi/nrep10/seed24: ok(final_y=-1.838, 41.7s)
[179/1080] ei/nrep03/seed01: ok(final_y=-2.471, 33.3s)
[180/1080] ei/nrep03/seed02: ok(final_y=-4.433, 32.8s)
[181/1080] ei/nrep03/seed03: ok(final_y=-6.436, 31.4s)
[182/1080] pi/nrep10/seed27: ok(final_y=-2.166, 48.4s)
[183/1080] ei/nrep03/seed04: ok(final_y=-4.15, 35.6s)
[184/1080] ei/nrep03/seed06: ok(final_y=-3.093, 33.2s)
[185/1080] pi/nrep10/seed29: ok(final_y=-2.175, 49.2s)
[186/1080] ei/nrep03/seed07: ok(final_y=-3.907, 35.3s)
[187/1080] ei/nrep03/seed08: ok(final_y=-6.467, 34.1s)
[188/1080] ei/nrep03/seed09: ok(final_y=-3.076, 33.6s)
[189/1080] ei/nrep03/seed10: ok(final_y=-4.787, 33.9s)
[190/1080] ei/nrep03/seed12: ok(final_y=-3.315, 33.2s)
[191/1080] ei/nrep03/seed05: ok(final_y=-13.59, 47.8s)
[192/1080] ei/nrep03/seed13: ok(final_y=-6.635, 34.4s)
[193/1080] ei/nrep03/seed16: ok(final_y=-3.48, 32.7s)
[194/1080] ei/nrep03/seed20: ok(final_y=-4.469, 33.0s)
[195/1080] ei/nrep03/seed17: ok(final_y=-1.797, 35.5s)
[196/1080] ei/nrep03/seed21: ok(final_y=-3.124, 32.9s)
[197/1080] ei/nrep03/seed11: ok(final_y=-5.286, 51.1s)
[198/1080] ei/nrep03/seed19: ok(final_y=-1.19, 38.7s)
[199/1080] ei/nrep03/seed18: ok(final_y=-5.028, 40.5s)
[200/1080] ei/nrep03/seed14: ok(final_y=-5.753, 50.5s)
[201/1080] ei/nrep03/seed24: ok(final_y=-4.185, 31.8s)
[202/1080] ei/nrep03/seed23: ok(final_y=-2.945, 32.4s)
[203/1080] ei/nrep03/seed15: ok(final_y=-5.517, 50.3s)
[204/1080] ei/nrep03/seed26: ok(final_y=-8.318, 33.8s)
[205/1080] ei/nrep03/seed27: ok(final_y=-3.68, 33.2s)
[206/1080] ei/nrep03/seed30: ok(final_y=-7.189, 30.3s)
[207/1080] ei/nrep03/seed29: ok(final_y=-4.091, 31.4s)
[208/1080] ei/nrep03/seed28: ok(final_y=-1.242, 34.6s)
[209/1080] ei/nrep05/seed02: ok(final_y=-2.846, 34.2s)
[210/1080] ei/nrep03/seed22: ok(final_y=-4.377, 51.7s)
[211/1080] ei/nrep05/seed03: ok(final_y=-0.8268, 34.6s)
[212/1080] ei/nrep03/seed25: ok(final_y=-2.038, 53.3s)
[213/1080] ei/nrep05/seed05: ok(final_y=-7.263, 32.8s)
[214/1080] ei/nrep05/seed04: ok(final_y=-2.532, 33.5s)
[215/1080] ei/nrep05/seed06: ok(final_y=-1.292, 33.8s)
[216/1080] ei/nrep05/seed08: ok(final_y=-3.512, 32.7s)
[217/1080] ei/nrep05/seed11: ok(final_y=-1.659, 31.6s)
[218/1080] ei/nrep05/seed12: ok(final_y=-4.407, 32.6s)
[219/1080] ei/nrep05/seed01: ok(final_y=-2.864, 51.1s)
[220/1080] ei/nrep05/seed15: ok(final_y=-5.868, 31.8s)
[221/1080] ei/nrep05/seed09: ok(final_y=-0.4427, 42.9s)
[222/1080] ei/nrep05/seed14: ok(final_y=-7.178, 34.0s)
[223/1080] ei/nrep05/seed17: ok(final_y=-7.056, 33.9s)
[224/1080] ei/nrep05/seed16: ok(final_y=-3.603, 35.2s)
[225/1080] ei/nrep05/seed18: ok(final_y=-2.053, 35.1s)
[226/1080] ei/nrep05/seed07: ok(final_y=-2.009, 52.5s)
[227/1080] ei/nrep05/seed19: ok(final_y=-1.536, 33.0s)
[228/1080] ei/nrep05/seed13: ok(final_y=-3.971, 51.4s)
[229/1080] ei/nrep05/seed10: ok(final_y=-3.942, 54.6s)
[230/1080] ei/nrep05/seed21: ok(final_y=-3.028, 34.7s)
[231/1080] ei/nrep05/seed23: ok(final_y=-3.956, 32.8s)
[232/1080] ei/nrep05/seed24: ok(final_y=-1.127, 32.6s)
[233/1080] ei/nrep05/seed25: ok(final_y=-4.936, 32.6s)
[234/1080] ei/nrep05/seed26: ok(final_y=-6.303, 33.2s)
[235/1080] ei/nrep05/seed27: ok(final_y=-1.838, 31.9s)
[236/1080] ei/nrep05/seed29: ok(final_y=-2.526, 35.8s)
[237/1080] ei/nrep05/seed28: ok(final_y=-2.658, 37.5s)
[238/1080] ei/nrep05/seed20: ok(final_y=-1.976, 53.4s)
[239/1080] ei/nrep05/seed30: ok(final_y=-2.437, 33.3s)
[240/1080] ei/nrep10/seed02: ok(final_y=-2.084, 32.4s)
[241/1080] ei/nrep10/seed03: ok(final_y=-0.6246, 33.7s)
[242/1080] ei/nrep10/seed04: ok(final_y=-3.207, 33.0s)
[243/1080] ei/nrep05/seed22: ok(final_y=-0.4428, 56.2s)
[244/1080] ei/nrep10/seed05: ok(final_y=-1.339, 33.2s)
[245/1080] ei/nrep10/seed07: ok(final_y=-4.697, 32.5s)
[246/1080] ei/nrep10/seed11: ok(final_y=-1.937, 32.4s)
[247/1080] ei/nrep10/seed12: ok(final_y=-1.57, 32.8s)
[248/1080] ei/nrep10/seed01: ok(final_y=-3.009, 52.0s)
[249/1080] ei/nrep10/seed10: ok(final_y=-2.158, 35.4s)
[250/1080] ei/nrep10/seed13: ok(final_y=-0.7866, 32.4s)
[251/1080] ei/nrep10/seed14: ok(final_y=-2.272, 33.2s)
[252/1080] ei/nrep10/seed15: ok(final_y=-1.314, 33.2s)
[253/1080] ei/nrep10/seed06: ok(final_y=-1.773, 52.2s)
[254/1080] ei/nrep10/seed16: ok(final_y=-2.473, 32.9s)
[255/1080] ei/nrep10/seed09: ok(final_y=-1.694, 51.5s)
[256/1080] ei/nrep10/seed08: ok(final_y=-1.517, 52.0s)
[257/1080] ei/nrep10/seed20: ok(final_y=-2.467, 31.7s)
[258/1080] ei/nrep10/seed19: ok(final_y=-1.488, 33.5s)
[259/1080] ei/nrep10/seed17: ok(final_y=-3.415, 38.0s)
[260/1080] ei/nrep10/seed22: ok(final_y=-3.168, 32.2s)
[261/1080] ei/nrep10/seed21: ok(final_y=-2.868, 32.6s)
[262/1080] ei/nrep10/seed25: ok(final_y=-2.753, 33.0s)
[263/1080] ei/nrep10/seed24: ok(final_y=-3.729, 35.3s)
[264/1080] ei/nrep10/seed26: ok(final_y=-1.267, 33.1s)
[265/1080] ei/nrep10/seed18: ok(final_y=-1.736, 52.1s)
[266/1080] ei/nrep10/seed27: ok(final_y=-2.107, 33.4s)
[267/1080] ei/nrep10/seed29: ok(final_y=-2.059, 33.7s)
[268/1080] ei/nrep10/seed30: ok(final_y=-2.508, 33.5s)
[269/1080] haei_g0.5/nrep03/seed02: ok(final_y=-2.369, 33.3s)
[270/1080] haei_g0.5/nrep03/seed01: ok(final_y=-0.7516, 34.3s)
[271/1080] ei/nrep10/seed23: ok(final_y=-1.868, 51.4s)
[272/1080] haei_g0.5/nrep03/seed04: ok(final_y=-0.05856, 35.7s)
[273/1080] haei_g0.5/nrep03/seed07: ok(final_y=0.1545, 34.6s)
[274/1080] haei_g0.5/nrep03/seed08: ok(final_y=-4.852, 34.5s)
[275/1080] haei_g0.5/nrep03/seed09: ok(final_y=-0.05083, 34.1s)
[276/1080] haei_g0.5/nrep03/seed10: ok(final_y=-4.078, 32.5s)
[277/1080] haei_g0.5/nrep03/seed11: ok(final_y=-5.286, 33.1s)
[278/1080] ei/nrep10/seed28: ok(final_y=-2.271, 51.1s)
[279/1080] haei_g0.5/nrep03/seed13: ok(final_y=-3.083, 34.1s)
[280/1080] haei_g0.5/nrep03/seed12: ok(final_y=-5.305, 37.7s)
[281/1080] haei_g0.5/nrep03/seed03: ok(final_y=-3.449, 52.8s)
[282/1080] haei_g0.5/nrep03/seed14: ok(final_y=-3.013, 33.0s)
[283/1080] haei_g0.5/nrep03/seed05: ok(final_y=-17.71, 51.4s)
[284/1080] haei_g0.5/nrep03/seed06: ok(final_y=-4.02, 52.0s)
[285/1080] haei_g0.5/nrep03/seed16: ok(final_y=-4.777, 33.6s)
[286/1080] haei_g0.5/nrep03/seed18: ok(final_y=-6.403, 33.3s)
[287/1080] haei_g0.5/nrep03/seed17: ok(final_y=-0.3051, 35.2s)
[288/1080] haei_g0.5/nrep03/seed19: ok(final_y=-9.779, 35.8s)
[289/1080] haei_g0.5/nrep03/seed20: ok(final_y=-3.795, 35.5s)
[290/1080] haei_g0.5/nrep03/seed22: ok(final_y=-4.377, 32.4s)
[291/1080] haei_g0.5/nrep03/seed24: ok(final_y=-2.671, 32.6s)
[292/1080] haei_g0.5/nrep03/seed23: ok(final_y=-3.314, 34.6s)
[293/1080] haei_g0.5/nrep03/seed26: ok(final_y=-8.56, 33.7s)
[294/1080] haei_g0.5/nrep03/seed15: ok(final_y=-3.324, 53.1s)
[295/1080] haei_g0.5/nrep03/seed27: ok(final_y=0.2835, 35.1s)
[296/1080] haei_g0.5/nrep03/seed25: ok(final_y=-1.166, 36.8s)
[297/1080] haei_g0.5/nrep03/seed21: ok(final_y=-1.648, 53.0s)
[298/1080] haei_g0.5/nrep03/seed29: ok(final_y=-1.392, 35.5s)
[299/1080] haei_g0.5/nrep05/seed05: ok(final_y=-6.21, 32.1s)
[300/1080] haei_g0.5/nrep05/seed02: ok(final_y=-4.344, 33.9s)
[301/1080] haei_g0.5/nrep03/seed30: ok(final_y=-2.465, 39.7s)
[302/1080] haei_g0.5/nrep05/seed06: ok(final_y=-3.344, 35.1s)
[303/1080] haei_g0.5/nrep05/seed07: ok(final_y=-1.889, 33.8s)
[304/1080] haei_g0.5/nrep03/seed28: ok(final_y=-5.82, 53.8s)
[305/1080] haei_g0.5/nrep05/seed08: ok(final_y=-2.138, 32.7s)
[306/1080] haei_g0.5/nrep05/seed09: ok(final_y=-4.766, 34.8s)
[307/1080] haei_g0.5/nrep05/seed10: ok(final_y=-3.755, 34.1s)
[308/1080] haei_g0.5/nrep05/seed01: ok(final_y=-1.291, 51.4s)
[309/1080] haei_g0.5/nrep05/seed11: ok(final_y=-4.719, 32.9s)
[310/1080] haei_g0.5/nrep05/seed03: ok(final_y=-3.492, 50.8s)
[311/1080] haei_g0.5/nrep05/seed12: ok(final_y=-4.843, 33.0s)
[312/1080] haei_g0.5/nrep05/seed13: ok(final_y=-1.688, 34.3s)
[313/1080] haei_g0.5/nrep05/seed04: ok(final_y=-0.9621, 54.2s)
[314/1080] haei_g0.5/nrep05/seed16: ok(final_y=-3.665, 33.3s)
[315/1080] haei_g0.5/nrep05/seed15: ok(final_y=-5.868, 34.2s)
[316/1080] haei_g0.5/nrep05/seed18: ok(final_y=-1.587, 33.6s)
[317/1080] haei_g0.5/nrep05/seed17: ok(final_y=-7.788, 38.4s)
[318/1080] haei_g0.5/nrep05/seed20: ok(final_y=-1.446, 34.4s)
[319/1080] haei_g0.5/nrep05/seed21: ok(final_y=-5.669, 33.7s)
[320/1080] haei_g0.5/nrep05/seed14: ok(final_y=-6.523, 53.4s)
[321/1080] haei_g0.5/nrep05/seed23: ok(final_y=-1.284, 35.1s)
[322/1080] haei_g0.5/nrep05/seed22: ok(final_y=-0.4613, 36.0s)
[323/1080] haei_g0.5/nrep05/seed25: ok(final_y=-2.111, 34.5s)
[324/1080] haei_g0.5/nrep05/seed26: ok(final_y=-4.214, 33.7s)
[325/1080] haei_g0.5/nrep05/seed27: ok(final_y=-2.915, 34.0s)
[326/1080] haei_g0.5/nrep05/seed19: ok(final_y=-1.002, 49.2s)
[327/1080] haei_g0.5/nrep05/seed29: ok(final_y=-1.875, 37.0s)
[328/1080] haei_g0.5/nrep10/seed01: ok(final_y=-3.009, 35.7s)
[329/1080] haei_g0.5/nrep05/seed30: ok(final_y=-0.938, 36.3s)
[330/1080] haei_g0.5/nrep10/seed02: ok(final_y=-0.3359, 34.3s)
[331/1080] haei_g0.5/nrep10/seed04: ok(final_y=-4.195, 34.0s)
[332/1080] haei_g0.5/nrep10/seed05: ok(final_y=-0.3264, 34.8s)
[333/1080] haei_g0.5/nrep05/seed24: ok(final_y=-2.559, 53.7s)
